"Name","City","Address","Postal"
"Aglona","Paku Skapis TOP Aknīste","Paku Skapis TOP Aknīste",""
"Paku Skapis TOP Aknīste","I-VII 00:00 - 24:00","I-VII 00:00 - 24:00",""
"Paku Skapis Citro Alsunga","I-VII 00:00 - 24:00","I-VII 00:00 - 24:00",""
"Paku Skapis Raiņa 5 Auce","Nosaukums","Nosaukums",""
"Paku Skapis Baltezers","Āri","Āri, LV-2164","LV-2164"
"Paku Skapis Baltezers","I-VII 00:00 - 24:00","I-VII 00:00 - 24:00",""
"Paku Skapis Lats Baltinava","Kārsavas iela 4","Kārsavas iela 4, LV-4594","LV-4594"
"Paku Skapis Lats Baltinava","I-VII 00:00 - 24:00","I-VII 00:00 - 24:00",""
"Paku Skapis TC Planēta","Paku Skapis VIRŠI Asni","Paku Skapis VIRŠI Asni",""
"Paku Skapis VIRŠI Asni","Asni","Asni, LV-2102","LV-2102"
"Paku Skapis VIRŠI Asni","I-VII 00:00 - 24:00","I-VII 00:00 - 24:00",""
"Paku Skapis Lats Jaunjelgava","Celtnieku iela 1","Celtnieku iela 1, LV-5201","LV-5201"
"Paku Skapis Maxima  Viestura","Celtnieku iela 1","Celtnieku iela 1, LV-5201","LV-5201"
"Paku Skapis Sprīdītis Rīgas","Paku Skapis Aibe Kalnciems","Paku Skapis Aibe Kalnciems",""
"Paku Skapis Aibe Kalnciems","Lielā iela 11","Lielā iela 11, LV-3016","LV-3016"
"Paku Skapis Aibe Kalnciems","I-VII 00:00 - 24:00","I-VII 00:00 - 24:00",""
"Paku Skapis Vītoli Kandava","Paku Skapis Lizums","Paku Skapis Lizums",""
"Paku Skapis Maxima XX Līvāni","Paku Skapis Skulte","Paku Skapis Skulte",""
"Paku Skapis Skulte","Strautu iela 1","Strautu iela 1, LV-4025","LV-4025"
"Paku Skapis Skulte","I-VII 00:00 - 24:00","I-VII 00:00 - 24:00",""
"Paku Skapis Maxima Smiltene","Paku Skapis VIRŠI Babīte","Paku Skapis VIRŠI Babīte",""
"Paku Skapis VIRŠI Babīte","Viršvidi","Viršvidi, LV-2101","LV-2101"
"Paku Skapis VIRŠI Babīte","I-VII 00:00 - 24:00","I-VII 00:00 - 24:00",""
"Paku Skapis Spuņciems","Paku Skapis Maxima X Valka","Paku Skapis Maxima X Valka",""
"Paku Skapis Maxima X Valka","Raiņa iela 7","Raiņa iela 7, LV-4701","LV-4701"
"Paku Skapis Mego Valka","Ausekļa iela 54","Ausekļa iela 54, LV-4701","LV-4701"
"Paku Skapis Maxima X Valka","Paku Skapis Vecpiebalga","Paku Skapis Vecpiebalga",""
"Paku Skapis Vecpiebalga","Būvmateriālu veikals Piebalga","Būvmateriālu veikals Piebalga, LV-4122","LV-4122"
"Paku Skapis Vecpiebalga","I-VII 00:00 - 24:00","I-VII 00:00 - 24:00",""
"Paku Skapis Vesko Vecumnieki","Paku Skapis Skorpions Zaube","Paku Skapis Skorpions Zaube",""
"Paku Skapis Skorpions Zaube","""Kooperatīvs""","""Kooperatīvs"", LV-4113","LV-4113"
"Paku Skapis Skorpions Zaube","I-VII 00:00 - 24:00","I-VII 00:00 - 24:00",""
"Paku Skapis Elvi Zvejniekciems","Ainažu iela 113","Ainažu iela 113, LV-2160","LV-2160"
"Paku Skapis Elvi Zvejniekciems","I-VII 00:00 - 24:00","I-VII 00:00 - 24:00",""
